"PX0001M" "PX0003M" "PX0006M" "PX0012M" "BALB03M" "ESP001M" "ESP003M" "ESP006M" "ESP012M" "NY0001M" "NY0003M" "NY0006M" "NY0012M" "TAB3M" "CORN3M" "CORN6M" "PORB3M" "FS0003M" "FS0006M" "SOLK1M" "SOLK3M" "SOLK6M" "YY0003M" "YY0006M" "PIB3M" "DIDA01M" "DIDA03M" "DIDA06M" "PORK01" "PORK03" "BURP03M" "BURP06M" "DETL01" "PONYA" "PONYO/N" "KEEPCALM" "TOLSTOY" "CORAL" "HFXX1T" "SAXX1T"
"2017-1-1" "" "2017-1-1" "2017-1-1" "" "2017-1-1" "2017-1-1" "2017-1-1" "2017-1-1" "2017-1-1" "" "2017-1-1" "2017-1-1" "2017-1-1" "2017-1-1" "2017-1-1" "2017-1-1" "2017-1-1" "2017-1-1" "2017-1-1" "2017-1-1" "2017-1-1" "" "2017-1-1" "" "2017-1-1" "2017-1-1" "2017-1-1" "" "" "" "" "" "2017-1-1" "2017-1-1" "2017-1-1" "" "" "" ""
"2017-12-25" "" "2017-12-25" "2017-12-25" "" "2017-5-1" "2017-5-1" "2017-5-1" "2017-5-1" "2017-12-25" "" "2017-12-25" "2017-12-25" "2017-1-6" "2017-5-1" "2017-5-1" "2017-3-3" "2017-12-25" "2017-12-25" "2017-5-1" "2017-5-1" "2017-5-1" "" "2017-12-25" "" "2017-12-25" "2017-12-25" "2017-12-25" "" "" "" "" "" "2017-5-1" "2017-12-25" "2017-1-2" "" "" "" ""
"2017-12-26" "" "2017-12-26" "2017-12-26" "" "2017-12-25" "2017-12-25" "2017-12-25" "2017-12-25" "2017-12-26" "" "2017-12-26" "2017-12-26" "2017-5-1" "2017-8-9" "2017-8-9" "2017-5-1" "2017-12-26" "2017-12-26" "2017-5-17" "2017-5-17" "2017-5-17" "" "2017-12-26" "" "2017-12-26" "2017-12-26" "2017-12-26" "" "" "" "" "" "2017-12-25" "2017-12-26" "2017-1-3" "" "" "" ""
"2018-1-1" "" "2018-1-1" "2018-1-1" "" "2017-12-26" "2017-12-26" "2017-12-26" "2017-12-26" "2018-1-1" "" "2018-1-1" "2018-1-1" "2017-12-24" "2017-12-25" "2017-12-25" "2017-5-6" "2018-1-1" "2018-1-1" "2017-12-25" "2017-12-25" "2017-12-25" "" "2018-1-1" "" "2018-1-1" "2018-1-1" "2018-1-1" "" "" "" "" "" "2017-12-26" "2018-1-1" "2017-2-11" "" "" "" ""
"2018-12-25" "" "2018-12-25" "2018-12-25" "" "2018-1-1" "2018-1-1" "2018-1-1" "2018-1-1" "2018-12-25" "" "2018-12-25" "2018-12-25" "2017-12-25" "2018-1-1" "2018-1-1" "2017-5-24" "2018-12-25" "2018-12-25" "2017-12-26" "2017-12-26" "2017-12-26" "" "2018-12-25" "" "2018-12-25" "2018-12-25" "2018-12-25" "" "" "" "" "" "2018-1-1" "2018-12-25" "2017-4-29" "" "" "" ""
"2018-12-26" "" "2018-12-26" "2018-12-26" "" "2018-5-1" "2018-5-1" "2018-5-1" "2018-5-1" "2018-12-26" "" "2018-12-26" "2018-12-26" "2017-12-26" "2018-5-1" "2018-5-1" "2017-9-6" "2018-12-26" "2018-12-26" "2018-1-1" "2018-1-1" "2018-1-1" "" "2018-12-26" "" "2018-12-26" "2018-12-26" "2018-12-26" "" "" "" "" "" "2018-5-1" "2018-12-26" "2017-5-3" "" "" "" ""
"2019-1-1" "" "2019-1-1" "2019-1-1" "" "2018-12-25" "2018-12-25" "2018-12-25" "2018-12-25" "2019-1-1" "" "2019-1-1" "2019-1-1" "2017-12-31" "2018-8-9" "2018-8-9" "2017-9-22" "2019-1-1" "2019-1-1" "2018-5-1" "2018-5-1" "2018-5-1" "" "2019-1-1" "" "2019-1-1" "2019-1-1" "2019-1-1" "" "" "" "" "" "2018-12-25" "2019-1-1" "2017-5-4" "" "" "" ""
"2019-12-25" "" "2019-12-25" "2019-12-25" "" "2018-12-26" "2018-12-26" "2018-12-26" "2018-12-26" "2019-12-25" "" "2019-12-25" "2019-12-25" "2018-1-1" "2018-12-25" "2018-12-25" "2017-12-24" "2019-12-25" "2019-12-25" "2018-5-17" "2018-5-17" "2018-5-17" "" "2019-12-25" "" "2019-12-25" "2019-12-25" "2019-12-25" "" "" "" "" "" "2018-12-26" "2019-12-25" "2017-5-5" "" "" "" ""
"2019-12-26" "" "2019-12-26" "2019-12-26" "" "2019-1-1" "2019-1-1" "2019-1-1" "2019-1-1" "2019-12-26" "" "2019-12-26" "2019-12-26" "2018-1-6" "2019-1-1" "2019-1-1" "2017-12-25" "2019-12-26" "2019-12-26" "2018-12-25" "2018-12-25" "2018-12-25" "" "2019-12-26" "" "2019-12-26" "2019-12-26" "2019-12-26" "" "" "" "" "" "2019-1-1" "2019-12-26" "2017-11-3" "" "" "" ""
"2020-1-1" "" "2020-1-1" "2020-1-1" "" "2019-5-1" "2019-5-1" "2019-5-1" "2019-5-1" "2020-1-1" "" "2020-1-1" "2020-1-1" "2018-5-1" "2019-5-1" "2019-5-1" "2017-12-26" "2020-1-1" "2020-1-1" "2018-12-26" "2018-12-26" "2018-12-26" "" "2020-1-1" "" "2020-1-1" "2020-1-1" "2020-1-1" "" "" "" "" "" "2019-5-1" "2020-1-1" "2017-11-23" "" "" "" ""
